transgenic_line,neurotransmitter,reporter_status,dendrite_type,layer,threshold_v_noise,threshold_i_noise,peak_v_noise,peak_i_noise,trough_v_noise,trough_i_noise,upstroke_noise,upstroke_v_noise,downstroke_noise,downstroke_v_noise,fast_trough_v_noise,fast_trough_i_noise,width_noise,upstroke_downstroke_ratio_noise,f_i_curve_slope,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,input_resistance_mohm,latency,peak_v_long_square,peak_v_ramp,peak_v_short_square,ri,sag,seal_gohm,tau,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vm_for_sag,vrest,file_name
Glutamatergic,Glutamatergic,positive,spiny,L4,-32.21634674,886.7275391,14.79407024,879.0704956,-50.6746788,553.1185913,104.7723538,-6.132211685,-31.18359513,4.304487228,-43.07932663,786.4102783,0.001831026,3.286805285,-0.003380523,-46,-45.61458588,-52.02344036,153.632064,0.06184,24,24.29166794,32.40625095,154.1071087,0.075937532,2.51784448,19.14360166,110,123.3333308,460,-31.93750191,-30.60416794,-49.11718941,-56.15625,-52.5833346,-78.8984375,3.139299325,2.898329733,3.893947435,-94.625,-78.55315399,479091820_88
Pvalb+,GABAergic,positive,aspiny,L5,-47.21494675,633.0623169,-2.627740622,633.807251,-62.8512764,633.3753052,302.722379,-22.21494675,-239.3787127,-20.72930336,-62.74648285,634.5621948,0.000289031,1.263444241,1.645109043,-66.0625,-59.66667048,-65.81250191,132.16292,0.002955,-0.28125003,3.427083373,5.226562798,85.15624702,0.018475933,1.163257216,5.29061522,400,348.7083232,367.4999771,-50,-35.06250191,-51.09375095,-66.09375,-59.76041794,-72.46094131,1.308834215,1.072566111,1.311542455,-91.71875763,-72.20556641,475549334_78
Glutamatergic,Glutamatergic,negative,spiny,L6b,-38.40942001,286.4529114,29.57382202,284.5978394,-52.91893005,223.217392,191.6764858,-5.559782505,-84.87952344,9.871829987,-45.70380402,272.9891357,0.000932754,2.244171685,0.151066356,-49.40625381,-48.47917048,-57.39062881,238.458944,0.0335,32,36.77083333,35.32812691,239.8439348,0.124604106,1.590106112,14.29015929,170,175.3749949,370,-36.21875,-35.80208333,-51.48437881,-50.96875,-51.56250127,-78.90625381,2.320162034,2.316603502,2.93691452,-95.50000763,-83.01876831,501799874_52
Glutamatergic,Glutamatergic,positive,spiny,L4,-36.88352203,244.6988678,28.87784004,243.8693237,-56.28977203,166.4602203,253.2108635,-3.561079502,-70.56498106,12.484375,-46.640625,238.4715881,0.000982273,3.590718756,0.090098575,-45.71875,-47.04167048,-51.73125305,120.899968,0.08562,32.0625,36.09375127,37.60625076,121.0936382,0.08306352,3.057344512,25.76814136,110,97.33333333,1130,-36.28125,-37.46875254,-49.65625305,-57.12500381,-56.17708588,-74.36875305,3.460812067,3.413009398,4.059045452,-86.8125,-73.85773468,490283519_63
Glutamatergic,Glutamatergic,positive,spiny,L5,-37.42382813,173.2578125,25.2578125,172.203125,-54.828125,117.7578125,258.7846723,-12.55859375,-79.51470921,5.259765625,-48.62304688,159.59375,0.00089375,3.25626191,0.154761905,-49.71875381,-49.37500191,-52.51250229,115.44172,0.04745,33.5625,38.03125191,37.03750153,215.6249285,0.018837499,1.93555008,31.55362235,90,68.06250191,280,-36.5,-36.390625,-47.15625,-54.40625,-55.37500381,-72.9125,3.387519999,3.346647193,3.53883045,-94.25,-71.10503387,314804042_42
Sst+,GABAergic,positive,aspiny,L6b,-45.25833511,1054.499634,13.51400757,1056.836914,-61.75434494,1056.441162,251.2465847,-8.282535553,-207.2056251,-11.05505276,-61.6382103,1057.634033,0.000476624,1.206988001,0.015446224,-67.125,-62.328125,-67.29018402,107.630696,0.00524,24.46875191,14.71875095,27.88392993,62.03125045,0.016124027,1.412432,5.515310887,630,506.6875,830,-51.34375381,-37.03125191,-53.57589504,-67.28125,-62.45312691,-81.53571429,1.305924594,1.156681678,1.301044543,-88.12500763,-81.20401001,555241040_93
Htr3a+|Vip-,GABAergic,positive,aspiny,L5,-40.11569214,152.5718079,26.51130295,151.6941528,-55.01994705,120.6622314,259.0626713,-6.978058338,-62.01617606,-5.737367153,-50.59840393,142.9468079,0.00107617,4.197464761,0.252455357,-52.46875381,-51.18750127,-53.01875153,135.500384,0.07404,30,32.00000127,30.28125076,105.9375405,0.015199413,1.876530176,9.100074395,90,101.5833308,570,-40.53125,-44.15625381,-43.57500076,-55.31250381,-55.37500254,-67.05,4.599424401,4.57772591,2.888300429,-79.59375763,-67.11760712,561533860_48
Glutamatergic,Glutamatergic,negative,spiny,L6b,-38.22343826,154.9156189,37.76718903,155.0593719,-53.11249924,112.9093781,280.2983375,3.439843655,-79.6654835,17.44609451,-43.90703201,144.8093719,0.000934625,3.534441941,0.217753636,-43.75000381,-41.71875254,-47.54687881,179.450096,0.034455,40.5,42.3333346,38.8854173,96.09355778,0.022788137,1.502336128,17.0765709,90,84.5,780,-38.65625381,-37.54166921,-45.07812818,-52.34375381,-51.77083588,-77.44791921,3.56740928,3.714808422,3.555741727,-95.5625,-77.65193939,488688374_49
Pvalb+,GABAergic,positive,aspiny,L2/L3,-42.01504517,157.0266266,17.0227623,157.1820984,-58.06809235,155.2843323,257.5144546,-8.105613708,-177.653386,-5.465277672,-57.85696411,156.4398193,0.000514259,1.447433924,1.157788754,-59.06250381,-54.53125381,-59.75000191,309.51232,0.01372,20.78125,16.90625,31.82812643,186.2500012,0.01783656,1.50472704,8.271823526,90,105.2499924,380,-38.375,-35.96875,-45.92969036,-59.15625381,-54.65625381,-77.44531631,1.472246029,1.419873869,1.590534579,-96.78125,-76.91755676,581058351_52
Glutamatergic,Glutamatergic,positive,spiny,L5,-38.93449402,128.6730804,37.66886902,128.2067261,-47.40084076,106.1634598,284.1526626,1.734975934,-106.3050337,10.57451916,-39.96814728,123.1947098,0.000755,2.671066707,0.206823271,-41.03125381,-44.67708588,-47.53645897,133.406336,0.06088,44.65625,43.00000254,41.0364596,94.68749911,0.197812974,1.325639808,16.82459695,80,88.58333333,670,-39.03125381,-42.10416794,-46.63541857,-50.25,-50.15625127,-64.13541921,3.048518535,3.035288438,2.958677449,-73.93750763,-62.94235229,588729065_60
Glutamatergic,Glutamatergic,negative,spiny,L5,-40.66184616,314.0708923,36.24113846,314.7723999,-54.06996155,267.9813538,379.0680374,-2.203358173,-141.9703925,8.733208656,-49.00419617,314.1156616,0.000601866,2.677362325,0.1448668,-49.59375381,-53.97917048,-56.60625229,126.429912,0.08552,40.65625381,43.73958588,40.58750153,47.65605927,0.180735514,3.045497344,10.14305734,190,193.7083333,1160,-42.4375,-42.71875254,-55.32500153,-56.625,-57.73958588,-78.41875458,2.928680728,2.895773837,2.852588367,-83.46875763,-76.93751526,488679042_79
Glutamatergic,Glutamatergic,positive,spiny,L5,-37.02022171,211.6875,37.81525803,210.7830811,-53.35661697,152.6617584,325.5110647,-3.605698586,-77.87252096,16.04963303,-46.24356461,198.0330811,0.000976471,4.204421198,0.120701127,-48.25,-48.75000127,-51.16250305,202.568384,0.03666,45.9375,49.26041921,48.07500153,137.6562864,0.056277402,1.760305408,13.95644409,90,73.20833333,640,-37.1875,-36.96875127,-43.93750229,-54.40625,-56.38541921,-69.78125458,4.36275592,4.448181817,4.300290918,-84.65625,-69.68759918,599177740_58
Glutamatergic,Glutamatergic,negative,spiny,L4,-41.9453125,279.1838379,43.58685684,278.9411621,-53.59742737,235.7352905,436.5901042,5.298253536,-169.1692171,10.04319859,-48.73115921,274.7922668,0.000552868,2.585325846,0.17170234,-47.78125,-50.12500254,-53.30625153,86.044832,0.06521,47.125,49.01041921,48.59375305,68.59386712,0.245516524,2.390137856,15.7229443,160,164.2083333,1290,-42.84375,-43.44791667,-49.57500305,-57.28125381,-56.95833588,-73.19375305,2.874273394,2.88133293,2.723598755,-80.09375763,-71.86820984,480169202_57
Pvalb+,GABAergic,positive,aspiny,L5,-42.8471756,288.4366455,3.939640522,289.5119934,-62.18450165,282.996582,185.2410133,-12.38741398,-180.9004056,-18.17080498,-61.79708862,290.1609497,0.000497055,1.013887972,1.104003979,-67.96875763,,-63.99479294,173.020368,0.00731,13.25000095,,17.11979198,147.0983177,0.021848937,1.126394624,6.955022827,180,,430.0000305,-45.18750381,,-47.58854421,-68.06250763,,-72.81250127,1.094021778,,1.233000739,-96.15625763,-72.18852997,484744672_66
Glutamatergic,Glutamatergic,positive,spiny,L4,-42.67844391,143.6268158,34.39583206,143.7409363,-57.17844391,112.4655762,318.6102858,-9.08831501,-106.123395,7.206974506,-51.33967209,140.9782562,0.000835362,3.009407275,0.207303371,-51.71875381,-49.72916921,-54.68750191,205.452864,0.05534,39.21875381,40.84375254,37.67187691,187.6562834,0.024089577,2.943726848,21.23603938,70,70.45833333,670,-41.3125,-38.45833588,-48.21875,-54.28125381,-53.97916921,-81.703125,3.165291867,3.321471129,3.433526302,-99.31250763,-80.89804077,502267531_45
Htr3a+|Vip-,GABAergic,positive,aspiny,L4,-39.23918152,50.13461685,24.12379837,50.37980652,-57.15144348,47.08654022,272.8345245,-3.475961447,-186.1232951,-4.395432472,-56.375,50.75961685,0.000495,1.464317104,0.452789706,-58.00000381,-59.46875381,-60.17500381,301.899872,0.018165,24.50000191,35.46875,27.89375114,328.125,0.019273218,2.645534208,34.01669265,30.00000191,33.12499936,330,-42.25000381,-42.95833588,-42.50625229,-58.12500381,-59.58333588,-66.41875458,1.558686849,1.519930886,1.49143985,-102.65625,-64.71941376,473951795_42
Sst+,GABAergic,positive,aspiny,L5,-36.94363785,44.3549118,32.55413055,44.265625,-59.27455521,43.09375,254.7781046,1.439732194,-156.1580952,6.51953125,-58.7946434,43.9665184,0.0006675,1.61703427,0.291538456,-59.46875381,-58.44791921,-63.02500229,209.605296,0.0373,42.6875,44.72917048,38.42500153,261.5624666,0.038960062,1.699957504,62.70503866,30,25.74999936,450,-43.18750381,-40.71875254,-45.05000153,-59.56250381,-58.51041921,-66.85000458,2.23577326,2.212524487,2.152146439,-94.625,-65.8897171,530737765_35
Glutamatergic,Glutamatergic,positive,spiny,L6b,-40.54018021,77.19642639,29.79528046,76.94898224,-56.73022842,60.04336548,233.8381797,-4.191326618,-97.79366408,6.049107075,-49.65816498,74.67601776,0.000844082,2.366989507,0.202789117,-55.84375,-52.75000381,-57.24219036,147.9972,0.038125,38.53125,41.46875191,37.54687691,243.7500656,0.111824982,1.733426176,24.92931471,50,59.74999809,285,-44.93750381,-41.515625,-50.07812786,-56.28125381,-56.34375381,-81.90625381,3.56419272,3.225421778,3.617188802,-100.3125,-81.17546844,488428837_54
Glutamatergic,Glutamatergic,positive,spiny,L6a,-42.69089508,61.5625,23.58899498,61.29076004,-56.78532791,47.91032791,229.7682597,-21.94021797,-63.76091202,2.129076004,-53.51426697,58.66304398,0.001182174,3.60592489,0.286030828,-53.90625,-54.80208715,-56.98750381,322.777504,0.0243,34.4375,34.41666794,31.84375229,348.2813239,0.101397358,1.323356672,26.75755785,30,28.74999936,400,-43.43750381,-44.5520846,-43.46875153,-58.12500381,-57.86458588,-66.44375305,4.322535848,4.272166694,3.659369207,-98.93750763,-66.45721436,502367941_36
Htr3a+|Vip-,GABAergic,positive,aspiny,L5,-31.61631966,77.70370483,31.05989647,76.72801208,-48.32957077,69.42708588,201.2174226,-8.726273537,-73.35529831,7.1484375,-47.33188629,72.80439758,0.001081852,2.72893917,0.279938272,-50.84375381,-49.3359375,-57.31250238,594.843904,0.01582,36.125,35.27343941,38.17187595,207.8124881,0.079083309,3.679954944,10.23900473,50,31.5,260,-34.4375,-34.46093845,-40.78515816,-51.31250381,-49.63281441,-75.52344036,3.018972898,3.148984703,3.402901915,-99.78125,-74.57646942,584872371_49
Htr3a+|Vip-,GABAergic,positive,aspiny,L1,-32.1004982,268.3224487,28.81960297,267.453125,-50.30752945,209.4332428,288.8829612,-3.616122246,-77.87955381,5.068181992,-47.53125,255.09375,0.000844773,3.777441161,0.202873567,-50.28125381,-51.23958588,-61.71875,224.74288,0.06426,32.50000381,32.45833588,33.68750381,144.6876079,0.078147694,1.9638304,6.331227147,150,124.5416692,479.9999695,-31.28125191,-32.27083397,-36.59375191,-52.12500381,-53.19791921,-75.85937881,3.556752929,3.842818004,2.456698886,-92.00000763,-74.78723907,555341581_52
Pvalb+,GABAergic,positive,aspiny,L2/L3,-30.45536804,214.0437317,-2.071311951,214.4177551,-43.87287903,206.448761,150.3771397,-16.45194244,-83.25681587,-12.01036263,-43.39507294,213.0437317,0.000519308,1.806210443,0.967330684,-50.75000381,-49.29687881,-58.84375191,297.790624,0.01215,-0.4375,-1.421875,4.765625238,190.1340038,0.039263416,2.117572352,7.634171839,130,166.875,68.33333333,-32.90625381,-25.0625,-41.30208524,-51.03125381,-49.71875,-74.97916921,1.672161965,0.982695671,1.757991369,-94.4375,-73.6521225,486754703_65
Htr3a+|Vip-,GABAergic,positive,aspiny,L5,-29.98913002,337.0344238,17.06748199,335.6630554,-50.95289993,260.6956482,183.4435262,-8.549365997,-60.07901672,-3.455163002,-47.16032791,300.7228394,0.001014275,3.05946544,0.128571414,-51.00000381,-53.56250254,-61.78646024,78.749264,0.079295,15.34375095,27.17708397,25.15625127,103.4373865,0.032480493,1.597012352,7.661363258,209.9999847,195.5833333,830,-31.46875191,-35.43750127,-39.30208651,-54.37500381,-57.05208588,-73.07291921,3.088937786,3.681338659,2.408116415,-83.59375763,-71.76859283,482773968_52
Sst+,GABAergic,positive,aspiny,L5,-43.25732422,166.3554688,24.89672852,166.3583984,-64.59912109,163.1699219,352.8740923,-7.7578125,-225.8307771,-8.767822266,-64.36352539,165.4130859,0.000443437,1.560781973,0.535286713,-65.46875,-65.31250509,-67.31250458,184.539952,0.014115,22.53125,33.85416921,29.28750191,182.5000048,0.119770825,1.259977216,10.93781356,100,111.9583333,380,-45.53125,-44.32292048,-46.40000076,-65.71875763,-65.44791667,-72.8187561,1.710360936,1.693460969,1.706936008,-92.1875,-71.70148468,491029832_44
Glutamatergic,Glutamatergic,positive,spiny,L2/L3,-37.31573105,261.245697,42.11961365,262,-55.05926895,191.3534546,404.7259022,-0.676724136,-103.4360399,14.20689678,-45.49676895,263.2155151,0.00077931,3.9230631,0.15736075,-46.93750381,-48.55208333,-48.97500381,134.375424,0.05606,45.0625,43.84375254,43.75625229,161.5625024,0.056760743,1.047345536,22.03038024,110,100.6666667,1060,-37,-35.94791921,-44.71875153,-52.93750381,-55.56250127,-78.41875153,3.929530063,3.602018294,3.808848733,-94.50000763,-77.44673157,517974394_69
Htr3a+|Vip-,GABAergic,positive,aspiny,L5,-44.10649109,293.7769165,11.05216312,294.134613,-61.46826935,291.677887,268.4563216,-12.42668247,-202.136318,-14.77980804,-61.28485489,293.7692261,0.000438231,1.32144842,0.065550239,-64.59375763,,-65.71484375,180.26936,0.005765,18.87500191,,21.72656322,114.2187491,0.058974858,1.517646976,5.98494111,160,,350,-47.125,,-48.1210947,-64.71875,,-69.21484375,1.3286691,,1.362956292,-83.125,-69.63807678,464326210_58
Glutamatergic,Glutamatergic,positive,spiny,L4,-38.31175613,78.62202454,20.87574387,78.21726227,-53.4709816,63.61904907,242.5804502,-17.17113113,-79.01013703,-0.832589269,-45.63541794,75.88690186,0.000872024,3.072196467,0.348888889,-46.06250381,-45.35416921,-51.34375318,148.071152,0.05157,20.0625,32.12500127,24.50000064,208.281219,0.015519354,2.172593664,28.80585114,50,54.99999873,700,-40.81250381,-36.21875127,-43.02083651,-50.21875381,-49.26042048,-76.31771215,2.958321485,3.098876882,2.901080818,-94.28125763,-74.98111725,484738748_48
